Job Title,Rating,Size,Founded,Type of ownership,Industry,Sector,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Min_Salary,Max_Salary,Min_Revenue,Max_Revenue
Principal Data Scientist (Computational Chemistry),4.7,51 - 200 ,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,108,173,140.5,UT,8,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,data scientist,sr,na,108,173,1000000,5000000
"Principal Scientist, Chemistry & Immunology",3.3,10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,0,0,54,115,84.5,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P,54,115,500000000,1000000000
Software Engineer - Data Visualization,4.0,51 - 200 ,2002,Company - Private,Computer Hardware & Software,Information Technology,0,0,60,127,93.5,MD,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na,M,60,127,50000000,10000000
"Scientist/Senior Scientist, Autoimmune",4.4,201 - 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,90,179,134.5,MA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P,90,179,100000000,500000000
Staff Machine Learning Engineer,3.9,201 - 500 ,2007,Company - Private,Internet,Information Technology,0,0,138,224,181.0,CA,14,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,machine learning engineer,na,na,138,224,10000000,25000000
"Principal Scientist, Hematology",3.3,10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,0,0,54,115,84.5,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P,54,115,500000000,1000000000
Lead Data Engineer,4.1,51 - 200 ,2010,Company - Private,Internet,Information Technology,0,0,190,220,205.0,CA,11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,na,190,220,50000000,100000000
Marketing Data Analyst,3.6,1001 - 5000 ,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",0,0,35,62,48.5,CA,35,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,analyst,na,M,35,62,100000000,500000000
Medical Laboratory Scientist,4.0,1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,Health Care,1,0,37,52,44.5,TX,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na,18,25,50000000,100000000
R&D Specialist/ Food Scientist,2.4,501 - 1000 ,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,0,0,39,66,52.5,IL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na,39,66,100000000,500000000
Analytics Manager - Data Mart,3.5,501 - 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,0,0,42,86,64.0,CA,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Data scientist project manager,na,na,42,86,500000000,1000000000
Staff Scientist-Downstream Process Development,2.7,201 - 500 ,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,49,113,81.0,MD,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,49,113,25000000,50000000
Sr. Data Engineer,3.4,1001 - 5000 ,2005,Company - Public,Transportation Management,Transportation & Logistics,0,0,75,140,107.5,IL,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,na,75,140,2000000000,5000000000
Data Scientist,3.7,10000+ ,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,0,0,66,112,89.0,VA,26,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na,66,112,10000000000,10000000000
"Business Data Analyst, SQL",3.8,1001 - 5000 ,2002,Company - Private,Travel Agencies,Travel & Tourism,0,0,44,86,65.0,NY,19,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na,44,86,2000000000,5000000000
Data Scientist,3.4,51 - 200 ,1992,Company - Private,Advertising & Marketing,Business Services,0,0,64,111,87.5,IL,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,64,111,10000000,25000000
Data Analyst,3.1,1001 - 5000 ,1997,Company - Public,Video Games,Media,0,0,65,120,92.5,CA,24,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,analyst,na,na,65,120,10000000000,10000000000
Data Analyst,2.8,501 - 1000 ,-1,Nonprofit Organization,Social Assistance,Non-Profit,0,0,33,62,47.5,CA,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na,33,62,50000000,100000000
